Summary,Issue Type,Description,Priority,Estimated Time (mins),Epic Link
Certification Preparation – AWS Solutions Architect,Epic,"Focus on achieving the AWS Solutions Architect – Professional certification.",High,, 
Learn Core AWS Services,Story,"Study foundational AWS services including EC2, S3, and IAM.",High,,Certification Preparation – AWS Solutions Architect
Study EC2 Basics,Task,"Learn about EC2 instance types, pricing, and use cases. Reference: https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/concepts.html",High,30,Learn Core AWS Services
Launch and Connect to an EC2 Instance,Task,"Launch an EC2 instance in AWS Management Console and connect via SSH. Reference: https://aws.amazon.com/getting-started/hands-on/launch-an-ec2-instance/",High,60,Learn Core AWS Services
Study S3 Basics,Task,"Understand S3 bucket concepts, object storage, and security options. Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/Welcome.html",Medium,30,Learn Core AWS Services
Enable Versioning on an S3 Bucket,Task,"Enable versioning on a new S3 bucket and upload sample files. Reference: https://docs.aws.amazon.com/AmazonS3/latest/userguide/Versioning.html",Medium,30,Learn Core AWS Services
Portfolio Projects,Epic,"Create and document portfolio-ready projects aligned with certifications.",High,, 
Create AWS Core Architecture Diagram,Story,"Design an AWS architecture diagram incorporating EC2, S3, and IAM roles.",High,,Portfolio Projects
Design a Simple Architecture with EC2 and S3,Task,"Use Lucidchart or Diagrams.net to design an architecture with EC2 and S3 integration.",High,60,Create AWS Core Architecture Diagram
Document IAM Roles and Policies in the Diagram,Task,"Add IAM roles and policies for secure EC2-S3 access in the architecture diagram.",Medium,30,Create AWS Core Architecture Diagram
